遊戲期數,遊戲主題,屆別,獎金結構項數,售價,最高獎金,發行日,發行日(民國),下市日,下市日(民國),兌獎截止日,兌獎截止日(民國),發行張數,銷售率,頭獎張數,頭獎未兌領張數,scratchId,newsId,圖片網址,獎金結構網址
5150,推金幣,本屆(2024/1/1起),10,100,500000,2026-02-03,115/02/03,2026-08-03,115/08/03,2026-11-03,115/11/03,8160000,87.81%,8,2,df0b93264aa24f8bb30bc2de1d404d70,f0d09b62412a4335a9bb87025d5f719a,https://cdn.taiwanlottery.com.tw/app/Images/Scratch/20260129_152115279_1.jpg,https://www.taiwanlottery.com/news/news/f0d09b62412a4335a9bb87025d5f719a
5149,點球成金,本屆(2024/1/1起),10,200,2000000,2026-05-19,115/05/19,2026-11-19,115/11/19,2027-02-19,116/02/19,4564000,,4,,eef04c61e8a4446c9ebddf43a205db92,c350a989fb064408bea97c0559b058df,https://cdn.taiwanlottery.com.tw/app/Images/Scratch/20260513_095553754_1.jpg,https://www.taiwanlottery.com/news/news/c350a989fb064408bea97c0559b058df
5148,獎金倍倍樂,本屆(2024/1/1起),12,200,2000000,2026-05-19,115/05/19,2026-11-19,115/11/19,2027-02-19,116/02/19,3965100,,3,,8c5865c764424927bdfe068a0eb55f60,c350a989fb064408bea97c0559b058df,https://cdn.taiwanlottery.com.tw/app/Images/Scratch/20260513_095311624_1.jpg,https://www.taiwanlottery.com/news/news/c350a989fb064408bea97c0559b058df
5147,金鑽999,本屆(2024/1/1起),9,200,2000000,2026-05-05,115/05/05,2026-11-05,115/11/05,2027-02-11,116/02/11,4080000,,3,,692c7e517d60422c8c104d2e83cfcff2,24134e6f661d455e9d54730a16558742,https://cdn.taiwanlottery.com.tw/app/Images/Scratch/20260428_094141520_1.jpg,https://www.taiwanlottery.com/news/news/24134e6f661d455e9d54730a16558742
5146,麻將大賓果,本屆(2024/1/1起),8,300,3000000,2026-05-05,115/05/05,2026-11-05,115/11/05,2027-02-11,116/02/11,7093500,,6,,06172030aee3447baaf40691f61bc1f9,24134e6f661d455e9d54730a16558742,https://cdn.taiwanlottery.com.tw/app/Images/Scratch/20260428_093601785_1.jpg,https://www.taiwanlottery.com/news/news/24134e6f661d455e9d54730a16558742
5145,一觸即發,本屆(2024/1/1起),11,200,2000000,2026-04-07,115/04/07,2026-10-21,115/10/21,2027-01-21,116/01/21,3551700,,3,,3a86b2ae52454e7db19c9e01b790b307,626a7981e0684035b739c391c3d5c523,https://cdn.taiwanlottery.com.tw/app/Images/Scratch/20260330_143828610_1.jpg,https://www.taiwanlottery.com/news/news/626a7981e0684035b739c391c3d5c523
5144,獎金獵人,本屆(2024/1/1起),9,200,2000000,2026-04-07,115/04/07,2026-10-21,115/10/21,2027-01-21,116/01/21,5904800,,6,,04a455541d7748199c1f4d8971526a87,626a7981e0684035b739c391c3d5c523,https://cdn.taiwanlottery.com.tw/app/Images/Scratch/20260330_143540043_1.jpg,https://www.taiwanlottery.com/news/news/626a7981e0684035b739c391c3d5c523
5143,幸運777,本屆(2024/1/1起),9,100,700000,2026-04-07,115/04/07,2026-10-07,115/10/07,2027-01-07,116/01/07,4080000,,4,,3c8ce3598bde4b0ab69b66a9348e4bca,626a7981e0684035b739c391c3d5c523,https://cdn.taiwanlottery.com.tw/app/Images/Scratch/20260330_142342980_1.jpg,https://www.taiwanlottery.com/news/news/626a7981e0684035b739c391c3d5c523
5142,幸運拉霸,本屆(2024/1/1起),10,200,2000000,2026-04-07,115/04/07,2026-10-07,115/10/07,2027-01-07,116/01/07,4080000,,4,,1f214aefa67d45d0b0991d1f47ce05b3,626a7981e0684035b739c391c3d5c523,https://cdn.taiwanlottery.com.tw/app/Images/Scratch/20260330_142019063_1.jpg,https://www.taiwanlottery.com/news/news/626a7981e0684035b739c391c3d5c523
5141,出棋制勝,本屆(2024/1/1起),11,200,2000000,2026-03-19,115/03/19,2026-09-24,115/09/24,2026-12-28,115/12/28,4080000,,4,,4dcef3c70ff4402989d9943d07bd8d88,2aad46d5725b47e8b9e91967809e023e,https://cdn.taiwanlottery.com.tw/app/Images/Scratch/20260313_175227942_1.jpg,https://www.taiwanlottery.com/news/news/2aad46d5725b47e8b9e91967809e023e
5140,幸運開獎機,本屆(2024/1/1起),11,200,2000000,2026-03-19,115/03/19,2026-09-24,115/09/24,2026-12-28,115/12/28,6630000,,5,,c392dc9b2cc44d109fce020475dfc1ad,2aad46d5725b47e8b9e91967809e023e,https://cdn.taiwanlottery.com.tw/app/Images/Scratch/20260313_175024366_1.jpg,https://www.taiwanlottery.com/news/news/2aad46d5725b47e8b9e91967809e023e
5139,釣魚高手,本屆(2024/1/1起),11,200,2000000,2026-03-10,115/03/10,2026-09-10,115/09/10,2026-12-10,115/12/10,4080000,,4,,e9bbf3ed6ec34abcb9a383d86813209a,9475f61b15d548978de6c632f25f430a,https://cdn.taiwanlottery.com.tw/app/Images/Scratch/20260304_152020314_1.jpg,https://www.taiwanlottery.com/news/news/9475f61b15d548978de6c632f25f430a
5138,無敵30倍,本屆(2024/1/1起),13,300,3000000,2026-03-10,115/03/10,2026-09-10,115/09/10,2026-12-10,115/12/10,6120000,,3,,f949fe535177433cab2bb54b702b6ad7,9475f61b15d548978de6c632f25f430a,https://cdn.taiwanlottery.com.tw/app/Images/Scratch/20260304_151809119_1.jpg,https://www.taiwanlottery.com/news/news/9475f61b15d548978de6c632f25f430a
5137,"樂刮$2,000",本屆(2024/1/1起),7,200,1000000,2026-02-24,115/02/24,2026-08-24,115/08/24,2026-11-24,115/11/24,6120000,,5,,95e2d9a9884140c188a73ffc693a4b61,ad69b5a7ae0d49dbac2bcf1e98fd75a1,https://cdn.taiwanlottery.com.tw/app/Images/Scratch/20260211_162250085_1.jpg,https://www.taiwanlottery.com/news/news/ad69b5a7ae0d49dbac2bcf1e98fd75a1
